Score,Name,',Tank,Attachments,Game Mode,Build
2.468 mil,Ɦﻉɭɭƈคፕ,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/eWeEXZFGQsVp6ibzgGRg_unknown.png),FFA,
2.457 mil,Limit Breaker,BoosterOR.png (https://dl.airtable.com/RCPlZGdYTPCK7sHQWgxW_BoosterOR.png),Booster,Screenshot_8.png (https://dl.airtable.com/hTJIeNTXTxmwYAjWSvRh_Screenshot_8.png),FFA,
2.435 mil,Zane,BoosterOR.png (https://dl.airtable.com/RCPlZGdYTPCK7sHQWgxW_BoosterOR.png),Booster,unknown.png (https://dl.airtable.com/yEQTe21wTEWa8PY39yiG_unknown.png),4TDM,
2.425 mil,S3CR3T,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,Kepernyofelvetel_54.png (https://dl.airtable.com/cPD2iQHRVmC7ZIBMygka_Kepernyofelvetel_54.png),FFA,
2.417 mil,S3CR3T,OverlordOR.png (https://dl.airtable.com/QFI6ztqhRLyY3suabMx3_OverlordOR.png),Overlord,Arras-OL_24m.png (https://dl.airtable.com/6yhvG08TaCS7cjeYtmhX_Arras-OL_24m.png),Open 3/4 TDM,
2.398 mil,Quadruplex,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,Screenshot_105.png (https://dl.airtable.com/0hWb9llsTRiusRFYWoU6_Screenshot_105.png),FFA,
2.395 mil,Quadruplex,TwinOR.png (https://dl.airtable.com/zFt99d9wQEGIYmO1YsBD_TwinOR.png),Twin,Screenshot_93.png (https://dl.airtable.com/FeQSrjqLSE24MnfL1H5m_Screenshot_93.png),FFA,
2.385 mil,CombineZ,Sniper-Blue(1).png (https://dl.airtable.com/NRFEDb5NR5m4h5aUIuxb_Sniper-Blue(1).png),Sniper,unknown.png (https://dl.airtable.com/VVOTUQqQYaVNZ7s16XZA_unknown.png),2TDM,
2.378 mil,ZeZo,DestroyerOR.png (https://dl.airtable.com/TlGJThs8To6blxQdFgRd_DestroyerOR.png),Destroyer,Screenshot_512.png (https://dl.airtable.com/bVXTaB1FScS5juT7vGjl_Screenshot_512.png),FFA,
2.349 mil,Ɦﻉɭɭƈคፕ,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/AhcDcTwMQXW6QX4mlA0J_unknown.png),Maze,
2.338 mil,X,DestroyerOR.png (https://dl.airtable.com/TlGJThs8To6blxQdFgRd_DestroyerOR.png),Destroyer,unknown.png (https://dl.airtable.com/zcRnwoRyio8oI0icb1Gg_unknown.png),FFA,
2.334 mil,Flying Fortress,BushwhackerOR.png (https://dl.airtable.com/RnbqZh5TvqI9QPqiuuBe_BushwhackerOR.png),Bushwhacker,Screenshot_2018-10-30_at_4.59.51_AM.png (https://dl.airtable.com/RwtNbs3DTjKKo2dQ9GKx_Screenshot_2018-10-30_at_4.59.51_AM.png),FFA,
2.332 mil,Psychlow,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,Screenshot_2018-05-27_at_1.42.57_PM.png (https://dl.airtable.com/0avLqCbQV2qEkqIhqoHQ_Screenshot_2018-05-27_at_1.42.57_PM.png),FFA,
2.318 mil,S3CR3T,7E6ZO9p.png (https://dl.airtable.com/Yd4n5PxOQBmVJjSD4M1u_7E6ZO9p.png),Dual,Kepernyofelvetel_159.png (https://dl.airtable.com/tAkaow8OQEOFGsUeEYL9_Kepernyofelvetel_159.png),FFA,
2.316 mil,Stradpult,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/yNknF7Z6QSaY4jQbPGBO_unknown.png),FFA,
2.315 mil,𝑉𝓪𝓷𝓮𝓼𝓼𝓪,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/NmKg7pVbQUSPzrN02O8k_unknown.png),FFA,
2.313 mil,Jimmy,BoosterOR.png (https://dl.airtable.com/RCPlZGdYTPCK7sHQWgxW_BoosterOR.png),Booster,drcvsctibls11.png (https://dl.airtable.com/Dguwu7uST1useLfrHpnB_drcvsctibls11.png),FFA,
2.311 mil,Skrialik,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,Screenshot_222.png (https://dl.airtable.com/NeC8LRmGSGKE3ty5BuS1_Screenshot_222.png),FFA,
2.310 mil,Zane,SurferOR.png (https://dl.airtable.com/ZAnaKaC1TfCvDzSqH4dY_SurferOR.png),Surfer,unknown.png (https://dl.airtable.com/Vf3ZIsTMQxS6hhDqQGQi_unknown.png),FFA,
2.307 mil,Road,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/1Z3dbHbxRUufBZbs0oiB_unknown.png),2 Team Domination,
2.299 mil,Candy,BushwhackerOR.png (https://dl.airtable.com/RnbqZh5TvqI9QPqiuuBe_BushwhackerOR.png),Bushwhacker,unknown.png (https://dl.airtable.com/lzn5QnFJSAx1YULoE3ce_unknown.png),4 Team Domination,
2.295 mil,Road,EagleOR.png (https://dl.airtable.com/Hbe9ZbLSeWUeh2XXWvjM_EagleOR.png),Eagle,unknown.png (https://dl.airtable.com/ldn14RVQQh2vaSOoCwJy_unknown.png),FFA,
2.273 mil,<?W> Whoops,RangerOR.png (https://dl.airtable.com/AvT4D9T9QCizc7L9ZL7D_RangerOR.png),Ranger,unknown.png (https://dl.airtable.com/LhUWXSEiSn20vEqMXhAM_unknown.png),2TDM,
2.270 mil,Limit Breaker,GunnerTrapperOR.png (https://dl.airtable.com/wkff2g9vQ7SXDgkdbpCg_GunnerTrapperOR.png),Gunner Trapper,JPEG_20180613_172336.jpg (https://dl.airtable.com/xY26No65RFGy2rktAMCe_JPEG_20180613_172336.jpg),4TDM,
2.268 mil,𝑉𝓪𝓷𝓮𝓼𝓼𝓪,OverlordOR.png (https://dl.airtable.com/QFI6ztqhRLyY3suabMx3_OverlordOR.png),Overlord,unknown.png (https://dl.airtable.com/CqjAJo7JR2JmHRKcGPag_unknown.png),FFA,
